Date,Type,Category,Amount,Note,Merchant,OriginalCurrency,OriginalAmount,ExchangeRate
2026-02-01,income,other_in,28.86,Cashback,Cashback Reward,,,
2026-02-01,expense,subscriptions,17.54,Adobe monthly plan,Adobe,,,
2026-02-02,expense,education,96.4,Book purchase,Online Course,,,
2026-02-03,expense,other,16.27,Small fee,Post Office,,,
2026-02-05,expense,bills,101.24,Monthly bill,Internet Provider,,,
2026-02-06,expense,education,80.75,Learning subscription,Online Course,,,
2026-02-06,expense,other,4.18,Small fee,Miscellaneous,,,
2026-02-08,expense,education,117.2,Book purchase,Textbook Store,,,
2026-02-08,expense,other,12.82,Miscellaneous expense,Miscellaneous,,,
2026-02-09,expense,groceries,64.57,Fresh produce,FreshMart,,,
2026-02-10,expense,gifts,74.8,Birthday gift,Gift Shop,,,
2026-02-10,expense,health,80.94,Gym class,Fitness Studio,,,
2026-02-12,expense,entertainment,41.66,Weekend activity,Museum Cafe,,,
2026-02-12,expense,travel,124.64,Airport transfer,Airline,,,
2026-02-14,expense,transport,46.49,Commute,Train Pass,,,
2026-02-15,income,freelance,232.25,Client payment,Consulting Client,,,
2026-02-15,expense,groceries,56.71,Pantry restock,Green Valley Market,,,
2026-02-15,expense,education,105.23,Book purchase,Textbook Store,,,
2026-02-17,expense,other,9.61,Miscellaneous expense,Post Office,,,
2026-02-18,expense,transport,29.75,Fuel refill,Metro Transit,,,
2026-02-19,expense,bills,72.39,Service charge,Water Utility,,,
2026-02-20,expense,gifts,48.51,Birthday gift,Toy Store,,,
2026-02-20,expense,other,22.89,Small fee,Miscellaneous,GBP,18.02,1.27
2026-02-21,expense,entertainment,10.68,Music subscription,Spotify,,,
2026-02-21,expense,bills,84.17,Service charge,Water Utility,,,
2026-02-23,expense,transport,19.92,Ride to meeting,Train Pass,,,
2026-02-24,expense,health,96.6,Medication,City Pharmacy,,,
2026-02-24,expense,transport,19.23,Parking,Metro Transit,,,
2026-02-25,expense,shopping,176.72,Clothing,Bookshop,,,
2026-02-27,expense,travel,42.63,Travel meal,Hotel Stay,,,
2026-02-28,income,freelance,538.22,Client payment,Tutoring Client,,,
2026-02-28,expense,education,81.34,Book purchase,Textbook Store,,,
2026-03-01,expense,travel,166.32,Travel meal,Travel Snacks,,,
2026-03-01,expense,other,19.22,Small fee,Miscellaneous,,,
2026-03-02,expense,bills,135.93,Service charge,Phone Carrier,,,
2026-03-04,expense,subscriptions,13.55,Recurring app subscription,iCloud,,,
2026-03-04,expense,shopping,92.74,Personal purchase,Apple Store,,,
2026-03-05,income,other_in,38.13,Cashback,Cashback Reward,,,
2026-03-05,expense,groceries,48.69,Fresh produce,FreshMart,,,
2026-03-06,expense,transport,48.56,Fuel refill,RideShare,,,
2026-03-07,expense,transport,21.28,Transit top-up,Fuel Station,,,
2026-03-08,expense,other,31.13,Miscellaneous expense,Miscellaneous,,,
2026-03-10,expense,subscriptions,17.68,Adobe monthly plan,Adobe,,,
2026-03-11,expense,gifts,74.33,Thank-you gift,Gift Shop,,,
2026-03-11,expense,gifts,91.08,Thank-you gift,Flower Market,,,
2026-03-12,income,other_in,17.7,Cashback,Cashback Reward,,,
2026-03-13,expense,transport,34.7,Fuel refill,Parking Garage,GBP,27.32,1.27
2026-03-13,expense,food,23.02,Dinner out,Taco Corner,,,
2026-03-14,expense,entertainment,71.08,Music subscription,Museum Cafe,,,
2026-03-15,expense,food,22.79,Dinner out,Burger Loft,,,
2026-03-16,expense,shopping,21.26,Clothing,Bookshop,,,
2026-03-18,expense,food,36.2,Lunch,Sushi Market,,,
2026-03-19,expense,groceries,87.31,Pantry restock,FreshMart,,,
2026-03-19,expense,education,93.41,Learning subscription,Online Course,,,
2026-03-19,expense,bills,134.34,Monthly bill,Electric Utility,,,
2026-03-20,expense,education,118.11,Learning subscription,Language App,,,
2026-03-21,expense,health,17.15,Medication,Dental Clinic,,,
2026-03-22,expense,travel,158.45,Trip expense,Airport Rail,,,
2026-03-23,expense,education,54.31,Course material,Language App,,,
2026-03-24,expense,entertainment,80.88,Movie night,Museum Cafe,,,
2026-03-26,income,gift_in,26.77,Gift received,Family Transfer,,,
2026-03-26,expense,shopping,133.03,Personal purchase,Bookshop,,,
2026-03-27,expense,food,25.15,Coffee and pastry,Sushi Market,,,
2026-03-27,expense,bills,57.74,Monthly bill,Internet Provider,,,
2026-03-29,expense,education,113.59,Course material,Textbook Store,,,
2026-03-30,expense,education,74.96,Book purchase,Textbook Store,,,
2026-03-31,expense,other,26.89,Miscellaneous expense,Miscellaneous,,,
2026-03-31,expense,subscriptions,11.24,Recurring app subscription,Adobe,,,
2026-04-01,expense,travel,108.74,Travel meal,Airline,,,
2026-04-01,expense,education,33.28,Course material,Language App,JPY,4967.16,0.0067
2026-04-03,expense,food,32.42,Lunch,Morning Brew Cafe,,,
2026-04-04,expense,travel,107.05,Airport transfer,Airline,,,
2026-04-05,expense,subscriptions,21.19,iCloud monthly plan,iCloud,,,
2026-04-05,expense,food,14.18,Weekend brunch,Noodle House,,,
2026-04-07,expense,education,100.47,Book purchase,Language App,,,
2026-04-08,income,other_in,13.63,Cashback,Cashback Reward,,,
2026-04-08,expense,other,15.52,Small fee,Post Office,,,
2026-04-08,expense,gifts,53.76,Thank-you gift,Flower Market,,,
2026-04-10,expense,food,25.13,Lunch,Burger Loft,,,
2026-04-11,expense,groceries,40.31,Weekly groceries,FreshMart,,,
2026-04-12,expense,education,87.91,Course material,Online Course,,,
2026-04-12,expense,health,80.58,Appointment copay,Fitness Studio,,,
2026-04-13,expense,food,21.14,Dinner out,Burger Loft,,,
2026-04-13,income,gift_in,53.84,Gift received,Family Transfer,,,
2026-04-15,expense,shopping,26.22,Personal purchase,Target,,,
2026-04-16,expense,food,27.1,Quick meal,Morning Brew Cafe,,,
2026-04-17,expense,gifts,74.15,Family present,Toy Store,,,
2026-04-18,expense,food,41.05,Coffee and pastry,Morning Brew Cafe,,,
2026-04-19,expense,entertainment,57.72,Music subscription,Event Tickets,,,
2026-04-19,expense,health,90.37,Medication,Dental Clinic,,,
2026-04-20,income,gift_in,80.65,Gift received,Family Transfer,,,
2026-04-21,expense,gifts,90.71,Thank-you gift,Toy Store,,,
2026-04-21,expense,transport,20.35,Parking,Train Pass,JPY,3037.31,0.0067
2026-04-23,expense,entertainment,83.2,Movie night,Game Store,,,
